YearStart,YearEnd,LocationAbbr,LocationDesc,Question,Data_Value,Low_Confidence_Limit,High_Confidence_Limit ,Sample_Size,Age(years),Education,Gender,Income,Race/Ethnicity,GeoLocation,ClassID,TopicID,QuestionID,LocationID,StratificationCategory1,Stratification1,StratificationCategoryId1,StratificationID1
2022,2022,AL,Alabama,Percent of adults aged 18 years and older who have obesity,19.8,13.9,27.4,182.0,18 - 24,,,,,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q036,1,Age (years),18 - 24,AGEYR,AGEYR1824
2022,2022,AK,Alaska,Percent of adults aged 18 years and older who have obesity,24.5,19.4,30.6,324.0,18 - 24,,,,,"(64.84507995700051, -147.72205903599973)",OWS,OWS1,Q036,2,Age (years),18 - 24,AGEYR,AGEYR1824
2022,2022,AZ,Arizona,Percent of adults aged 18 years and older who have obesity,23.3,18.5,29.0,481.0,18 - 24,,,,,"(34.865970280000454, -111.76381127699972)",OWS,OWS1,Q036,4,Age (years),18 - 24,AGEYR,AGEYR1824
2022,2022,AR,Arkansas,Percent of adults aged 18 years and older who have obesity,27.6,21.4,34.8,219.0,18 - 24,,,,,"(34.74865012400045, -92.27449074299966)",OWS,OWS1,Q036,5,Age (years),18 - 24,AGEYR,AGEYR1824
2022,2022,CA,California,Percent of adults aged 18 years and older who have obesity,13.8,11.3,16.9,869.0,18 - 24,,,,,"(37.63864012300047, -120.99999953799971)",OWS,OWS1,Q036,6,Age (years),18 - 24,AGEYR,AGEYR1824
2022,2022,CO,Colorado,Percent of adults aged 18 years and older who have obesity,15.0,12.0,18.7,592.0,18 - 24,,,,,"(38.843840757000464, -106.13361092099967)",OWS,OWS1,Q036,8,Age (years),18 - 24,AGEYR,AGEYR1824
2022,2022,CT,Connecticut,Percent of adults aged 18 years and older who have obesity,19.6,14.6,25.8,423.0,18 - 24,,,,,"(41.56266102000046, -72.64984095199964)",OWS,OWS1,Q036,9,Age (years),18 - 24,AGEYR,AGEYR1824
2022,2022,DE,Delaware,Percent of adults aged 18 years and older who have obesity,28.0,20.6,36.8,198.0,18 - 24,,,,,"(39.008830667000495, -75.57774116799965)",OWS,OWS1,Q036,10,Age (years),18 - 24,AGEYR,AGEYR1824
2022,2022,DC,District of Columbia,Percent of adults aged 18 years and older who have obesity,23.3,15.5,33.5,130.0,18 - 24,,,,,"(38.89037138500049, -77.03196112699965)",OWS,OWS1,Q036,11,Age (years),18 - 24,AGEYR,AGEYR1824
2022,2022,FL,Florida,Percent of adults aged 18 years and older who have obesity,21.2,15.5,28.4,528.0,18 - 24,,,,,"(28.932040377000476, -81.92896053899966)",OWS,OWS1,Q036,12,Age (years),18 - 24,AGEYR,AGEYR1824
