YearStart,YearEnd,LocationAbbr,LocationDesc,Question,Data_Value,Low_Confidence_Limit,High_Confidence_Limit ,Sample_Size,Age(years),Education,Gender,Income,Race/Ethnicity,GeoLocation,ClassID,TopicID,QuestionID,LocationID,StratificationCategory1,Stratification1,StratificationCategoryId1,StratificationID1
2022,2022,AL,Alabama,Percent of adults aged 18 years and older who have obesity,40.6,37.9,43.4,2448.0,,,Female,,,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q036,1,Gender,Female,GEN,FEMALE
2022,2022,AK,Alaska,Percent of adults aged 18 years and older who have obesity,33.3,30.6,36.1,2480.0,,,Female,,,"(64.84507995700051, -147.72205903599973)",OWS,OWS1,Q036,2,Gender,Female,GEN,FEMALE
2022,2022,AZ,Arizona,Percent of adults aged 18 years and older who have obesity,33.8,31.5,36.1,4725.0,,,Female,,,"(34.865970280000454, -111.76381127699972)",OWS,OWS1,Q036,4,Gender,Female,GEN,FEMALE
2022,2022,AR,Arkansas,Percent of adults aged 18 years and older who have obesity,39.6,36.9,42.2,2468.0,,,Female,,,"(34.74865012400045, -92.27449074299966)",OWS,OWS1,Q036,5,Gender,Female,GEN,FEMALE
2022,2022,CA,California,Percent of adults aged 18 years and older who have obesity,27.9,26.0,30.0,4351.0,,,Female,,,"(37.63864012300047, -120.99999953799971)",OWS,OWS1,Q036,6,Gender,Female,GEN,FEMALE
2022,2022,CO,Colorado,Percent of adults aged 18 years and older who have obesity,25.2,23.6,26.9,4045.0,,,Female,,,"(38.843840757000464, -106.13361092099967)",OWS,OWS1,Q036,8,Gender,Female,GEN,FEMALE
2022,2022,CT,Connecticut,Percent of adults aged 18 years and older who have obesity,30.8,28.6,33.0,4001.0,,,Female,,,"(41.56266102000046, -72.64984095199964)",OWS,OWS1,Q036,9,Gender,Female,GEN,FEMALE
2022,2022,DE,Delaware,Percent of adults aged 18 years and older who have obesity,40.5,37.3,43.8,1900.0,,,Female,,,"(39.008830667000495, -75.57774116799965)",OWS,OWS1,Q036,10,Gender,Female,GEN,FEMALE
2022,2022,DC,District of Columbia,Percent of adults aged 18 years and older who have obesity,27.0,24.0,30.1,1589.0,,,Female,,,"(38.89037138500049, -77.03196112699965)",OWS,OWS1,Q036,11,Gender,Female,GEN,FEMALE
2022,2022,FL,Florida,Percent of adults aged 18 years and older who have obesity,30.8,28.4,33.4,6258.0,,,Female,,,"(28.932040377000476, -81.92896053899966)",OWS,OWS1,Q036,12,Gender,Female,GEN,FEMALE
2022,2022,GA,Georgia,Percent of adults aged 18 years and older who have obesity,39.9,37.6,42.2,4350.0,,,Female,,,"(32.83968109300048, -83.62758034599966)",OWS,OWS1,Q036,13,Gender,Female,GEN,FEMALE
2022,2022,HI,Hawaii,Percent of adults aged 18 years and older who have obesity,24.8,22.7,26.9,3846.0,,,Female,,,"(21.304850435000446, -157.85774940299973)",OWS,OWS1,Q036,15,Gender,Female,GEN,FEMALE
2022,2022,ID,Idaho,Percent of adults aged 18 years and older who have obesity,33.0,30.8,35.2,2818.0,,,Female,,,"(43.682630005000476, -114.3637300419997)",OWS,OWS1,Q036,16,Gender,Female,GEN,FEMALE
2022,2022,IL,Illinois,Percent of adults aged 18 years and older who have obesity,35.7,32.9,38.5,1841.0,,,Female,,,"(40.48501028300046, -88.99771017799969)",OWS,OWS1,Q036,17,Gender,Female,GEN,FEMALE
2022,2022,IN,Indiana,Percent of adults aged 18 years and older who have obesity,38.8,36.9,40.6,4604.0,,,Female,,,"(39.766910452000445, -86.14996019399968)",OWS,OWS1,Q036,18,Gender,Female,GEN,FEMALE
2022,2022,IA,Iowa,Percent of adults aged 18 years and older who have obesity,39.1,37.1,41.1,3973.0,,,Female,,,"(42.46940091300047, -93.81649055599968)",OWS,OWS1,Q036,19,Gender,Female,GEN,FEMALE
2022,2022,KS,Kansas,Percent of adults aged 18 years and older who have obesity,36.8,34.9,38.7,5204.0,,,Female,,,"(38.34774030000045, -98.20078122699965)",OWS,OWS1,Q036,20,Gender,Female,GEN,FEMALE
2022,2022,KY,Kentucky,Percent of adults aged 18 years and older who have obesity,36.7,33.7,39.9,1883.0,,,Female,,,"(37.645970271000465, -84.77497104799966)",OWS,OWS1,Q036,21,Gender,Female,GEN,FEMALE
2022,2022,LA,Louisiana,Percent of adults aged 18 years and older who have obesity,42.5,40.0,45.0,2788.0,,,Female,,,"(31.31266064400046, -92.44568007099969)",OWS,OWS1,Q036,22,Gender,Female,GEN,FEMALE
2022,2022,ME,Maine,Percent of adults aged 18 years and older who have obesity,33.6,31.7,35.6,5204.0,,,Female,,,"(45.254228894000505, -68.98503133599962)",OWS,OWS1,Q036,23,Gender,Female,GEN,FEMALE
2022,2022,MD,Maryland,Percent of adults aged 18 years and older who have obesity,34.8,33.1,36.6,7507.0,,,Female,,,"(39.29058096400047, -76.60926011099963)",OWS,OWS1,Q036,24,Gender,Female,GEN,FEMALE
