YearStart,YearEnd,LocationAbbr,LocationDesc,Question,Data_Value,Low_Confidence_Limit,High_Confidence_Limit ,Sample_Size,Age(years),Education,Gender,Income,Race/Ethnicity,GeoLocation,ClassID,TopicID,QuestionID,LocationID,StratificationCategory1,Stratification1,StratificationCategoryId1,StratificationID1
2022,2022,AL,Alabama,Percent of adults aged 18 years and older who have obesity,46.1,39.5,52.8,455.0,,,,"$15,000 - $24,999",,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q036,1,Income,"$15,000 - $24,999",INC,INC1525
2022,2022,AK,Alaska,Percent of adults aged 18 years and older who have obesity,45.0,36.8,53.4,325.0,,,,"$15,000 - $24,999",,"(64.84507995700051, -147.72205903599973)",OWS,OWS1,Q036,2,Income,"$15,000 - $24,999",INC,INC1525
2022,2022,AZ,Arizona,Percent of adults aged 18 years and older who have obesity,35.6,30.3,41.4,796.0,,,,"$15,000 - $24,999",,"(34.865970280000454, -111.76381127699972)",OWS,OWS1,Q036,4,Income,"$15,000 - $24,999",INC,INC1525
2022,2022,AR,Arkansas,Percent of adults aged 18 years and older who have obesity,39.4,34.0,45.1,584.0,,,,"$15,000 - $24,999",,"(34.74865012400045, -92.27449074299966)",OWS,OWS1,Q036,5,Income,"$15,000 - $24,999",INC,INC1525
2022,2022,CA,California,Percent of adults aged 18 years and older who have obesity,31.4,26.8,36.4,679.0,,,,"$15,000 - $24,999",,"(37.63864012300047, -120.99999953799971)",OWS,OWS1,Q036,6,Income,"$15,000 - $24,999",INC,INC1525
2022,2022,CO,Colorado,Percent of adults aged 18 years and older who have obesity,30.4,25.8,35.5,557.0,,,,"$15,000 - $24,999",,"(38.843840757000464, -106.13361092099967)",OWS,OWS1,Q036,8,Income,"$15,000 - $24,999",INC,INC1525
2022,2022,CT,Connecticut,Percent of adults aged 18 years and older who have obesity,35.7,29.7,42.1,548.0,,,,"$15,000 - $24,999",,"(41.56266102000046, -72.64984095199964)",OWS,OWS1,Q036,9,Income,"$15,000 - $24,999",INC,INC1525
2022,2022,DE,Delaware,Percent of adults aged 18 years and older who have obesity,42.8,34.4,51.7,262.0,,,,"$15,000 - $24,999",,"(39.008830667000495, -75.57774116799965)",OWS,OWS1,Q036,10,Income,"$15,000 - $24,999",INC,INC1525
2022,2022,DC,District of Columbia,Percent of adults aged 18 years and older who have obesity,37.2,28.1,47.3,156.0,,,,"$15,000 - $24,999",,"(38.89037138500049, -77.03196112699965)",OWS,OWS1,Q036,11,Income,"$15,000 - $24,999",INC,INC1525
2022,2022,FL,Florida,Percent of adults aged 18 years and older who have obesity,40.0,33.5,46.9,1114.0,,,,"$15,000 - $24,999",,"(28.932040377000476, -81.92896053899966)",OWS,OWS1,Q036,12,Income,"$15,000 - $24,999",INC,INC1525
