YearStart,YearEnd,LocationAbbr,LocationDesc,Question,Data_Value,Low_Confidence_Limit,High_Confidence_Limit ,Sample_Size,Age(years),Education,Gender,Income,Race/Ethnicity,GeoLocation,ClassID,TopicID,QuestionID,LocationID,StratificationCategory1,Stratification1,StratificationCategoryId1,StratificationID1
2022,2022,AL,Alabama,Percent of adults aged 18 years and older who have obesity,30.8,17.8,47.7,61.0,,,,,2 or more races,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q036,1,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,2022,AK,Alaska,Percent of adults aged 18 years and older who have obesity,36.6,30.1,43.6,310.0,,,,,2 or more races,"(64.84507995700051, -147.72205903599973)",OWS,OWS1,Q036,2,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,2022,AZ,Arizona,Percent of adults aged 18 years and older who have obesity,39.6,29.2,51.0,162.0,,,,,2 or more races,"(34.865970280000454, -111.76381127699972)",OWS,OWS1,Q036,4,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,2022,AR,Arkansas,Percent of adults aged 18 years and older who have obesity,40.7,29.5,52.9,113.0,,,,,2 or more races,"(34.74865012400045, -92.27449074299966)",OWS,OWS1,Q036,5,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,2022,CA,California,Percent of adults aged 18 years and older who have obesity,26.6,19.4,35.4,214.0,,,,,2 or more races,"(37.63864012300047, -120.99999953799971)",OWS,OWS1,Q036,6,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,2022,CO,Colorado,Percent of adults aged 18 years and older who have obesity,15.8,10.5,23.0,151.0,,,,,2 or more races,"(38.843840757000464, -106.13361092099967)",OWS,OWS1,Q036,8,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,2022,CT,Connecticut,Percent of adults aged 18 years and older who have obesity,33.7,23.2,46.1,125.0,,,,,2 or more races,"(41.56266102000046, -72.64984095199964)",OWS,OWS1,Q036,9,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,2022,DE,Delaware,Percent of adults aged 18 years and older who have obesity,40.2,26.7,55.2,73.0,,,,,2 or more races,"(39.008830667000495, -75.57774116799965)",OWS,OWS1,Q036,10,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,2022,DC,District of Columbia,Percent of adults aged 18 years and older who have obesity,8.3,3.5,18.5,60.0,,,,,2 or more races,"(38.89037138500049, -77.03196112699965)",OWS,OWS1,Q036,11,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,2022,FL,Florida,Percent of adults aged 18 years and older who have obesity,29.1,20.2,40.0,232.0,,,,,2 or more races,"(28.932040377000476, -81.92896053899966)",OWS,OWS1,Q036,12,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,2022,GA,Georgia,Percent of adults aged 18 years and older who have obesity,38.3,28.6,49.1,154.0,,,,,2 or more races,"(32.83968109300048, -83.62758034599966)",OWS,OWS1,Q036,13,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,2022,HI,Hawaii,Percent of adults aged 18 years and older who have obesity,38.7,35.2,42.3,1250.0,,,,,2 or more races,"(21.304850435000446, -157.85774940299973)",OWS,OWS1,Q036,15,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,2022,ID,Idaho,Percent of adults aged 18 years and older who have obesity,32.7,23.8,42.9,116.0,,,,,2 or more races,"(43.682630005000476, -114.3637300419997)",OWS,OWS1,Q036,16,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,2022,IL,Illinois,Percent of adults aged 18 years and older who have obesity,38.9,25.6,54.0,62.0,,,,,2 or more races,"(40.48501028300046, -88.99771017799969)",OWS,OWS1,Q036,17,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,2022,IN,Indiana,Percent of adults aged 18 years and older who have obesity,29.3,20.8,39.4,142.0,,,,,2 or more races,"(39.766910452000445, -86.14996019399968)",OWS,OWS1,Q036,18,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,2022,IA,Iowa,Percent of adults aged 18 years and older who have obesity,43.1,31.9,55.0,101.0,,,,,2 or more races,"(42.46940091300047, -93.81649055599968)",OWS,OWS1,Q036,19,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,2022,KS,Kansas,Percent of adults aged 18 years and older who have obesity,39.5,31.5,48.0,213.0,,,,,2 or more races,"(38.34774030000045, -98.20078122699965)",OWS,OWS1,Q036,20,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,2022,LA,Louisiana,Percent of adults aged 18 years and older who have obesity,38.8,28.7,50.0,110.0,,,,,2 or more races,"(31.31266064400046, -92.44568007099969)",OWS,OWS1,Q036,22,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,2022,ME,Maine,Percent of adults aged 18 years and older who have obesity,47.4,36.5,58.5,133.0,,,,,2 or more races,"(45.254228894000505, -68.98503133599962)",OWS,OWS1,Q036,23,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,2022,MD,Maryland,Percent of adults aged 18 years and older who have obesity,38.8,30.4,47.9,231.0,,,,,2 or more races,"(39.29058096400047, -76.60926011099963)",OWS,OWS1,Q036,24,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,2022,MA,Massachusetts,Percent of adults aged 18 years and older who have obesity,30.7,22.1,40.9,154.0,,,,,2 or more races,"(42.27687047000046, -72.08269067499964)",OWS,OWS1,Q036,25,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,2022,MI,Michigan,Percent of adults aged 18 years and older who have obesity,34.0,25.7,43.5,145.0,,,,,2 or more races,"(44.6613195430005, -84.71439026999968)",OWS,OWS1,Q036,26,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,2022,MN,Minnesota,Percent of adults aged 18 years and older who have obesity,46.0,38.1,54.1,225.0,,,,,2 or more races,"(46.35564873600049, -94.79420050299967)",OWS,OWS1,Q036,27,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,2022,MO,Missouri,Percent of adults aged 18 years and older who have obesity,44.6,34.4,55.4,137.0,,,,,2 or more races,"(38.635790776000476, -92.56630005299968)",OWS,OWS1,Q036,29,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,2022,MT,Montana,Percent of adults aged 18 years and older who have obesity,36.7,27.6,46.8,162.0,,,,,2 or more races,"(47.06652897200047, -109.42442064499971)",OWS,OWS1,Q036,30,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,2022,US,National,Percent of adults aged 18 years and older who have obesity,33.7,31.8,35.7,8465.0,,,,,2 or more races,,OWS,OWS1,Q036,59,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
