YearStart,YearEnd,LocationAbbr,LocationDesc,Datasource,Class,Topic,Question,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit ,Sample_Size,Total,Age(years),Education,Gender,Income,Race/Ethnicity,GeoLocation,ClassID,TopicID,QuestionID,DataValueTypeID,LocationID,StratificationCategory1,Stratification1,StratificationCategoryId1,StratificationID1
2017,2017,RI,Rhode Island,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,26.0,26.0,,,19.1,34.2,381.0,,,,,"$25,000 - $34,999",,"(41.708280193, -71.522470314)",FV,FV1,Q019,VALUE,44,Income,"$25,000 - $34,999",INC,INC2535
2017,2017,HI,Hawaii,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,17.1,17.1,,,14.5,20.1,1124.0,,45 - 54,,,,,"(21.304850435, -157.857749403)",FV,FV1,Q019,VALUE,15,Age (years),45 - 54,AGEYR,AGEYR4554
2017,2017,WV,West Virginia,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,19.8,19.8,,,11.8,31.4,104.0,,,,,,Non-Hispanic Black,"(38.665510202, -80.712640135)",FV,FV1,Q019,VALUE,54,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
2017,2017,AL,Alabama,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,25.5,25.5,,,21.6,29.9,679.0,,,Less than high school,,,,"(32.840571122, -86.631860762)",FV,FV1,Q019,VALUE,1,Education,Less than high school,EDU,EDUHS
2017,2017,GA,Georgia,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,22.2,22.2,,,19.5,25.0,1342.0,,,High school graduate,,,,"(32.839681093, -83.627580346)",FV,FV1,Q019,VALUE,13,Education,High school graduate,EDU,EDUHSGRAD
2017,2017,ND,North Dakota,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,28.6,28.6,,,23.4,34.4,335.0,,18 - 24,,,,,"(47.475319779, -100.118421049)",FV,FV1,Q019,VALUE,38,Age (years),18 - 24,AGEYR,AGEYR1824
2017,2017,NH,New Hampshire,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,10.9,10.9,,,9.2,12.8,2916.0,,,,Female,,,"(43.655950113, -71.50036092)",FV,FV1,Q019,VALUE,33,Gender,Female,GEN,FEMALE
2017,2017,MN,Minnesota,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,24.0,24.0,,,14.9,36.4,188.0,,,,,,American Indian/Alaska Native,"(46.355648736, -94.794200503)",FV,FV1,Q019,VALUE,27,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2017,2017,GA,Georgia,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,14.3,14.3,,,11.0,18.4,552.0,,,,,"$35,000 - $49,999",,"(32.839681093, -83.627580346)",FV,FV1,Q019,VALUE,13,Income,"$35,000 - $49,999",INC,INC3550
2017,2017,MN,Minnesota,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,16.6,16.6,,,14.7,18.7,1937.0,,35 - 44,,,,,"(46.355648736, -94.794200503)",FV,FV1,Q019,VALUE,27,Age (years),35 - 44,AGEYR,AGEYR3544
