"year","mmsacode","State","868_1","868_2","880_1","880_2","1100_1","1100_2","1100_3","1100_4","1100_5","1363_1","1363_2","1363_3","1363_4","4000_1","4000_2","4001_1","4001_2","4347_1","4347_2","4394_1","4394_2","4394_3","4394_4","4396_1","4396_2","4407_1","4407_2","4408_1","4408_2","4409_1","4409_2","4409_3","4411_1","4411_2","4413_1","4413_2","4414_1","4414_2","4416_1","4416_2","4417_1","4417_2","4421_1","4421_2","4423_1","4423_2","4424_1","4424_2","4425_1","4425_2","4426_1","4426_2","4427_1","4427_2","5001_1","5001_2","5011_1","5011_2","5021_1","5021_2","6606_1","6606_2","6607_1","6607_2","6610_1","6610_2","7307_1","7307_2"
"2010","1","10420","85","15","82.2","17.8","17.9","37.9","29.6","11.1","3.5","10.8","0.9","86.2","2.1","22.2","77.8","10","90","77.4","22.6","19.5","6","25.8","48.7","25.5","74.5","60.6","39.4","68","32","38.2","32.5","29.3","59.7","40.3","6.5","93.5","85.5","14.5","9.1","90.9","12.3","87.7","74.1","25.9","49.7","50.3","20","80","66.1","33.9","79.5","20.5","80","20","3.7","96.3","4.6","95.4","2.6","97.4","22.1","77.9","46.9","53.1","75.6","24.4","20.4","79.6"
"2010","2","10740","85.2","14.8","82.6","17.4","25.8","30","27.8","12","4.3","7.1","0.8","91.2","0.9","22.8","77.2","9.3","90.7","82","18","11.3","8.1","24.5","56.2","19.4","80.6","74","26","72.8","27.2","43.3","34.9","21.7","53.3","46.7","4.1","95.9","83.6","16.4","9.5","90.5","14.4","85.6","75.2","24.8","54.6","45.4","18.8","81.2","65.7","34.3","83.6","16.4","79.4","20.6","3.4","96.6","3.8","96.2","2.2","97.8","14.9","85.1","39","61","70.4","29.6","10","90"
"2010","123","10900","90.5","9.5","88.7","11.3","23.2","32.9","29.8","11","3.2","8.9","0.7","88.8","1.6","17.7","82.3","6.2","93.8","73.9","26.1","13.4","3.3","26.7","56.6","16.8","83.2","70.9","29.1","70.6","29.4","37.5","33.5","29","60.9","39.1","4.4","95.6","85.8","14.2","10","90","15.4","84.6","71.1","28.9","54.6","45.4","16.3","83.7","65.7","34.3","83.1","16.9","73.3","26.7","4.3","95.7","3","97","2.7","97.3","16.5","83.5","45.5","54.5","73.9","26.1","13.7","86.3"
"2010","270","11100","82.7","17.3","79.6","20.4","18.2","29.9","35.1","11","5.8","9.8","0.9","88.5","0.8","20.5","79.5","6.7","93.3","75.9","24.1","16.4","4.9","21.3","57.3","21.3","78.7","75.5","24.5","76.7","23.3","35","36.3","28.7","49.8","50.2","4.2","95.8","83.2","16.8","10","90","15.5","84.5","71.3","28.7","62.9","37.1","12.7","87.3","65.8","34.2","78.4","21.6","75.4","24.6","5.1","94.9","5.1","94.9","2.1","97.9","12.8","87.2","43.5","56.5","64.2","35.8","14.7","85.3"
"2010","185","11580","64.7","35.3","0","0","14.7","29.3","30","20.8","5.2","11.2","1.1","87","0.7","22.5","77.5","8.3","91.7","64.9","35.1","15.5","8.8","26.5","49.2","24.3","75.7","67.4","32.6","76.1","23.9","32.2","33.7","34.1","35.3","64.7","6.7","93.3","74","26","12.4","87.6","17.1","82.9","74.9","25.1","0","0","24.5","75.5","61.6","38.4","75.9","24.1","79.3","20.7","8","92","7.2","92.8","4","96","18.4","81.6","63.1","36.9","47.1","52.9","11.5","88.5"
"2010","4","11700","81.9","18.1","77.1","22.9","22.7","33.2","27.6","10.9","5.5","9.8","0.2","88.6","1.5","27.6","72.4","10.4","89.6","77.8","22.2","15.5","1.9","32","50.7","17.4","82.6","74.6","25.4","74.5","25.5","37.3","35.2","27.5","45.5","54.5","3.7","96.3","83.6","16.4","10.7","89.3","14","86","79.6","20.4","61.9","38.1","22.1","77.9","68.1","31.9","82.1","17.9","80.2","19.8","6.2","93.8","5.8","94.2","4","96","19.8","80.2","48.4","51.6","68.5","31.5","11.2","88.8"
"2010","5","12060","84.7","15.3","82.8","17.2","21.7","38.9","26.6","9.5","3.4","8.7","1","89.1","1.2","16.7","83.3","6.5","93.5","77.9","22.1","10.6","4.3","21.8","63.3","14.9","85.1","58.3","41.7","60.4","39.6","37.4","33.9","28.7","53.1","46.9","4.1","95.9","87.1","12.9","8.9","91.1","13","87","78.2","21.8","59.1","40.9","23.3","76.7","69.2","30.8","87.3","12.7","82.9","17.1","2.7","97.3","2.6","97.4","2.1","97.9","19.6","80.4","41.3","58.7","70.6","29.4","12.4","87.6"
"2010","150","12100","87.6","12.4","85.6","14.4","21","28.5","30.4","14.9","5.2","9","0.6","88.9","1.5","18.1","81.9","7.6","92.4","72.2","27.8","13.9","5.5","27.7","53","19.4","80.6","65.1","34.9","59.3","40.7","30.7","42.5","26.8","52.6","47.4","5.4","94.6","79.9","20.1","8.3","91.7","13.3","86.7","79.2","20.8","57.4","42.6","17.6","82.4","61.9","38.1","80.4","19.6","79.3","20.7","4.9","95.1","5.6","94.4","3.8","96.2","17.5","82.5","52.7","47.3","71.4","28.6","15.1","84.9"
"2010","99","12260","84.6","15.4","81.7","18.3","20.2","32.4","30.8","11.1","5.5","9.1","0.7","89.5","0.7","19.6","80.4","8.3","91.7","74.1","25.9","12.5","7.3","24.8","55.4","19.8","80.2","60.6","39.4","68","32","31.1","36.8","32.1","39.7","60.3","3.3","96.7","83.5","16.5","9.4","90.6","12.8","87.2","81.4","18.6","66.1","33.9","15.9","84.1","64.4","35.6","80.4","19.6","83.5","16.5","4.8","95.2","3.5","96.5","4.2","95.8","23.5","76.5","47.4","52.6","67.9","32.1","12.3","87.7"
"2010","186","12300","88.6","11.4","86.1","13.9","23.5","34.7","28.5","8.4","4.9","7.7","1.8","89.8","0.7","23.1","76.9","6.4","93.6","77.7","22.3","15.7","5","27","52.3","20.7","79.3","70.4","29.6","71.8","28.2","37.1","33.4","29.4","58","42","6.4","93.6","86.7","13.3","11.9","88.1","19.8","80.2","84.1","15.9","55.9","44.1","15.6","84.4","77.1","22.9","86.5","13.5","86.3","13.7","6.1","93.9","5.2","94.8","2.8","97.2","18.5","81.5","50.1","49.9","65.9","34.1","15.8","84.2"
