"year","state","187_1","187_2","187_3","187_4","187_5","187_6","559_1","559_2","559_3","559_4","559_5","745_1","745_2","745_3","745_4","745_5","745_6","868_1","868_2","880_1","880_2","1100_1","1100_2","1100_3","1100_4","1100_5","1363_1","1363_2","1363_3","1363_4","1613_1","1613_2","1613_3","1613_4","1613_5","1613_6","1737_1","1737_2","1737_3","1737_4","2357_1","2357_2","2357_3","2357_4","2357_5","2357_6","2357_7","2357_8","2976_1","2976_2","2976_3","2976_4","2976_5","3348_1","3348_2","4000_1","4000_2","4001_1","4001_2","4347_1","4347_2","4394_1","4394_2","4394_3","4394_4","4396_1","4396_2","4407_1","4407_2","4408_1","4408_2","4409_1","4409_2","4409_3","4411_1","4411_2","4413_1","4413_2","4414_1","4414_2","4416_1","4416_2","4417_1","4417_2","4421_1","4421_2","4423_1","4423_2","4424_1","4424_2","4425_1","4425_2","4426_1","4426_2","4427_1","4427_2","5001_1","5001_2","5011_1","5011_2","5021_1","5021_2","6606_1","6606_2","6607_1","6607_2","6610_1","6610_2","7307_1","7307_2"
"2010","AK","10.5","24.0","18.3","20.7","15.7","10.8","73.3","2.3","3.0","18.1","3.3","65.8","7.6","3.9","2.0","16.9","3.9","82.4","17.6","80.5","19.5","20.2","37.5","31.6","7.5","3.2","5.3","1.2","92.5","1.0","54.4","14.2","17.8","7.7","4.1","1.8","6.9","32.0","27.1","34.0","61.2","8.3","2.9","4.2","7.0","3.3","9.9","3.3","5.3","9.9","8.0","12.8","63.9","52.2","47.8","20.2","79.8","5.3","94.7","78.0","22.0","13.5","6.8","26.1","53.6","20.4","79.6","63.7","36.3","66.5","33.5","34.1","40.7","25.2","58.4","41.6","5.6","94.4","89.3","10.7","10.0","90.0","14.4","85.6","72.4","27.6","45.3","54.7","10.5","89.5","61.9","38.1","81.1","18.9","75.3","24.7","2.6","97.4","2.6","97.4","2.0","98.0","16.2","83.8","37.7","62.3","69.4","30.6","20.6","79.4"
"2010","AL","7.1","14.2","18.0","22.9","17.2","20.6","69.5","25.3","1.7","1.8","1.7","61.1","10.7","7.9","2.6","16.3","1.5","83.8","16.2","79.9","20.1","16.4","29.2","33.2","14.0","7.2","13.2","0.5","84.8","1.6","63.3","16.2","12.7","5.5","1.6","0.6","13.5","32.2","25.6","28.6","42.3","6.3","3.6","4.7","7.3","3.5","20.4","11.8","12.6","20.5","11.7","15.4","39.8","47.6","52.4","25.9","74.1","10.5","89.5","68.9","31.1","15.6","6.3","23.9","54.2","21.9","78.1","63.2","36.8","65.6","34.4","30.1","37.0","33.0","37.5","62.5","4.2","95.8","78.8","21.2","8.0","92.0","11.8","88.2","75.2","24.8","57.4","42.6","16.7","83.3","63.9","36.1","83.2","16.8","77.6","22.4","6.0","94.0","5.6","94.4","4.7","95.3","25.5","74.5","56.5","43.5","64.7","35.3","10.1","89.9"
"2010","AR","12.5","17.5","17.0","18.0","15.6","19.4","82.5","9.6","3.1","2.7","2.1","63.1","9.2","7.1","1.8","16.4","2.3","78.7","21.3","73.8","26.2","18.4","30.6","31.8","12.9","6.2","9.6","0.6","88.8","1.0","60.8","13.4","16.7","6.7","1.5","0.9","11.6","35.2","24.5","28.7","42.4","11.2","3.1","5.1","7.9","4.9","17.4","8.1","11.9","21.1","10.4","18.2","38.3","48.3","51.7","24.7","75.3","8.6","91.4","70.2","29.8","17.3","5.6","24.1","53.0","22.9","77.1","69.6","30.4","67.3","32.7","32.9","36.3","30.9","38.4","61.6","3.6","96.4","80.9","19.1","7.8","92.2","13.6","86.4","68.7","31.3","57.1","42.9","17.3","82.7","60.9","39.1","74.8","25.2","72.6","27.4","5.4","94.6","5.1","94.9","3.6","96.4","23.3","76.7","54.1","45.9","61.1","38.9","9.7","90.3"
"2010","AZ","4.4","8.2","12.9","19.4","21.2","33.8","76.3","2.1","14.7","5.6","1.4","66.4","10.8","8.5","1.3","10.0","2.9","89.5","10.5","84.4","15.6","21.1","30.3","30.9","12.5","5.2","11.4","0.6","86.7","1.3","69.1","11.7","11.4","4.9","2.2","0.7","9.0","21.5","29.0","40.5","36.9","8.7","4.1","3.1","7.8","2.6","31.5","5.3","8.8","15.5","11.4","15.0","49.4","49.6","50.4","25.7","74.3","10.1","89.9","78.0","22.0","9.6","3.9","33.0","53.5","13.5","86.5","67.2","32.8","71.8","28.2","34.6","40.7","24.7","51.6","48.4","5.2","94.8","82.3","17.7","10.0","90.0","14.8","85.2","75.6","24.4","60.1","39.9","19.6","80.4","66.8","33.2","79.3","20.7","77.4","22.6","6.7","93.3","6.8","93.2","4.7","95.3","13.4","86.6","51.3","48.7","70.1","29.9","11.6","88.4"
"2010","CA","13.7","19.0","19.2","18.7","14.0","15.4","44.3","4.2","39.5","10.6","1.4","56.8","7.6","5.0","2.5","21.6","6.4","82.2","17.8","79.1","20.9","22.5","30.7","28.7","13.7","4.4","8.6","1.4","88.5","1.5","52.1","16.9","18.2","8.2","3.0","1.4","19.0","22.8","24.0","34.2","44.4","8.8","6.1","5.1","10.2","7.0","13.8","4.6","19.7","14.7","10.2","10.9","44.5","49.6","50.4","18.1","81.9","6.9","93.1","79.6","20.4","7.5","4.6","23.1","64.8","12.1","87.9","63.0","37.0","62.6","37.4","38.4","36.9","24.7","53.3","46.7","5.7","94.3","81.9","18.1","7.7","92.3","12.6","87.4","78.4","21.6","47.0","53.0","27.0","73.0","61.5","38.5","80.8","19.2","81.4","18.6","3.5","96.5","3.6","96.4","2.3","97.7","10.6","89.4","41.5","58.5","69.6","30.4","15.8","84.2"
"2010","CO","12.1","19.6","18.8","19.7","15.3","14.4","72.3","3.1","19.0","4.0","1.7","62.4","9.1","4.6","1.6","18.6","3.7","83.6","16.4","81.0","19.0","23.7","36.8","27.2","9.4","2.9","6.0","0.7","92.2","1.1","54.8","16.6","17.4","7.9","2.4","1.0","7.9","24.2","27.3","40.6","49.5","10.5","4.0","5.1","8.5","5.3","13.5","3.6","7.2","14.0","9.2","13.8","55.9","50.1","49.9","20.6","79.4","6.0","94.0","81.8","18.2","11.4","4.6","24.7","59.3","16.0","84.0","73.4","26.6","73.3","26.7","42.4","36.2","21.4","58.4","41.6","4.7","95.3","87.7","12.3","9.2","90.8","14.7","85.3","70.3","29.7","51.2","48.8","19.2","80.8","65.3","34.7","79.8","20.2","74.2","25.8","3.2","96.8","3.1","96.9","1.7","98.3","13.4","86.6","35.4","64.6","68.0","32.0","15.4","84.6"
"2010","CT","11.2","15.9","18.1","20.7","15.8","18.3","81.6","4.9","8.2","4.4","1.0","61.3","8.2","6.0","0.9","19.6","4.0","90.2","9.8","88.4","11.6","23.4","37.0","28.5","8.7","2.3","7.3","0.8","91.0","0.8","59.3","17.5","16.0","5.8","1.1","0.3","5.2","25.5","23.0","46.3","54.9","8.3","4.1","3.5","6.1","4.6","15.8","2.6","5.7","8.5","7.4","11.3","67.1","48.0","52.0","16.6","83.4","6.4","93.6","79.3","20.7","9.2","4.0","29.2","57.6","13.2","86.8","72.4","27.6","69.2","30.8","39.4","37.5","23.0","66.1","33.9","5.0","95.0","89.0","11.0","9.2","90.8","15.3","84.7","81.4","18.6","59.8","40.2","18.7","81.3","75.7","24.3","85.6","14.4","83.8","16.2","3.1","96.9","3.6","96.4","1.7","98.3","9.2","90.8","37.8","62.2","81.6","18.4","17.4","82.6"
"2010","DC","4.6","11.2","14.6","18.9","23.4","27.3","38.1","50.0","4.7","5.6","1.5","42.6","12.3","9.0","3.1","27.9","5.1","93.5","6.5","92.1","7.9","22.7","34.2","29.0","10.5","3.5","10.9","0.4","87.4","1.3","74.5","13.0","8.7","2.9","0.5","0.4","7.8","18.4","16.2","57.6","48.4","8.5","4.0","3.4","3.3","3.1","23.7","5.6","9.8","12.3","8.5","9.6","59.8","46.5","53.5","19.3","80.7","11.6","88.4","78.6","21.4","9.4","5.4","28.1","57.1","14.8","85.2","62.0","38.0","65.4","34.6","42.6","34.8","22.7","59.2","40.8","5.8","94.2","86.0","14.0","9.9","90.1","15.5","84.5","81.8","18.2","67.6","32.4","25.2","74.8","70.8","29.2","87.1","12.9","84.4","15.6","4.3","95.8","3.8","96.2","4.6","95.4","11.2","88.8","48.2","51.8","75.3","24.7","12.5","87.5"
"2010","DE","12.4","16.3","17.6","19.0","15.7","18.9","75.5","13.7","5.0","4.2","1.6","58.9","8.9","6.5","1.2","21.0","3.5","90.0","10.0","88.0","12.0","21.6","35.5","29.2","10.4","3.3","8.7","1.0","89.2","1.2","58.0","16.7","16.4","6.6","1.4","0.8","6.1","26.7","28.6","38.6","53.7","5.5","3.4","4.3","4.1","5.6","19.8","3.7","9.9","8.8","9.0","14.3","58.0","47.6","52.4","21.4","78.6","8.3","91.7","76.1","23.9","12.8","4.5","26.8","56.0","17.3","82.7","66.9","33.1","70.0","30.0","36.0","35.3","28.7","59.3","40.7","5.9","94.1","86.3","13.7","10.0","90.0","15.1","84.9","81.4","18.6","59.7","40.3","16.0","84.0","74.0","26.0","82.7","17.3","83.2","16.8","3.9","96.1","4.5","95.5","3.0","97.0","16.4","83.6","42.1","57.9","74.2","25.8","18.8","81.2"
"2010","FL","6.6","10.6","18.9","25.9","15.2","22.8","69.7","10.5","15.3","3.2","1.4","61.4","11.3","7.5","2.4","14.7","2.8","83.0","17.0","78.5","21.5","20.1","33.5","29.3","12.1","5.1","10.4","0.8","87.6","1.2","61.9","16.0","14.8","5.2","1.6","0.5","7.5","26.7","28.4","37.4","42.8","9.0","5.8","4.4","7.2","3.3","21.0","6.4","10.2","17.2","10.4","14.4","47.8","48.5","51.5","24.3","75.7","9.3","90.7","76.0","24.0","12.0","5.2","29.8","53.0","17.1","82.9","65.6","34.4","69.9","30.1","35.0","37.8","27.2","55.3","44.7","5.2","94.8","82.9","17.1","8.3","91.7","13.8","86.2","77.1","22.9","63.0","37.0","21.1","78.9","68.2","31.8","80.4","19.6","80.4","19.6","5.4","94.6","5.5","94.5","3.5","96.5","13.3","86.7","53.0","47.0","66.4","33.6","13.7","86.3"
