YearStart,LocationAbbr,LocationDesc,Data_Value,QuestionID,StratificationCategory1,Stratification1,StratificationCategoryId1,StratificationID1
2022,AL,Alabama,19.8,Q036,Age (years),18 - 24,AGEYR,AGEYR1824
2022,AK,Alaska,24.5,Q036,Age (years),18 - 24,AGEYR,AGEYR1824
2022,AZ,Arizona,23.3,Q036,Age (years),18 - 24,AGEYR,AGEYR1824
2022,AR,Arkansas,27.6,Q036,Age (years),18 - 24,AGEYR,AGEYR1824
2022,CA,California,13.8,Q036,Age (years),18 - 24,AGEYR,AGEYR1824
2022,CO,Colorado,15.0,Q036,Age (years),18 - 24,AGEYR,AGEYR1824
2022,CT,Connecticut,19.6,Q036,Age (years),18 - 24,AGEYR,AGEYR1824
2022,DE,Delaware,28.0,Q036,Age (years),18 - 24,AGEYR,AGEYR1824
2022,DC,District of Columbia,23.3,Q036,Age (years),18 - 24,AGEYR,AGEYR1824
2022,FL,Florida,21.2,Q036,Age (years),18 - 24,AGEYR,AGEYR1824
2022,GA,Georgia,25.9,Q036,Age (years),18 - 24,AGEYR,AGEYR1824
2022,GU,Guam,25.4,Q036,Age (years),18 - 24,AGEYR,AGEYR1824
2022,HI,Hawaii,21.8,Q036,Age (years),18 - 24,AGEYR,AGEYR1824
2022,ID,Idaho,25.0,Q036,Age (years),18 - 24,AGEYR,AGEYR1824
2022,IL,Illinois,19.9,Q036,Age (years),18 - 24,AGEYR,AGEYR1824
2022,IN,Indiana,25.3,Q036,Age (years),18 - 24,AGEYR,AGEYR1824
2022,IA,Iowa,23.5,Q036,Age (years),18 - 24,AGEYR,AGEYR1824
2022,KS,Kansas,24.5,Q036,Age (years),18 - 24,AGEYR,AGEYR1824
2022,KY,Kentucky,24.1,Q036,Age (years),18 - 24,AGEYR,AGEYR1824
2022,LA,Louisiana,23.3,Q036,Age (years),18 - 24,AGEYR,AGEYR1824
2022,ME,Maine,23.4,Q036,Age (years),18 - 24,AGEYR,AGEYR1824
2022,MD,Maryland,22.3,Q036,Age (years),18 - 24,AGEYR,AGEYR1824
2022,MA,Massachusetts,14.0,Q036,Age (years),18 - 24,AGEYR,AGEYR1824
2022,MI,Michigan,19.7,Q036,Age (years),18 - 24,AGEYR,AGEYR1824
2022,MN,Minnesota,19.6,Q036,Age (years),18 - 24,AGEYR,AGEYR1824
2022,MS,Mississippi,26.3,Q036,Age (years),18 - 24,AGEYR,AGEYR1824
2022,MO,Missouri,22.1,Q036,Age (years),18 - 24,AGEYR,AGEYR1824
2022,MT,Montana,18.3,Q036,Age (years),18 - 24,AGEYR,AGEYR1824
2022,US,National,20.5,Q036,Age (years),18 - 24,AGEYR,AGEYR1824
2022,NE,Nebraska,23.0,Q036,Age (years),18 - 24,AGEYR,AGEYR1824
2022,NV,Nevada,27.0,Q036,Age (years),18 - 24,AGEYR,AGEYR1824
2022,NH,New Hampshire,15.8,Q036,Age (years),18 - 24,AGEYR,AGEYR1824
2022,NJ,New Jersey,14.5,Q036,Age (years),18 - 24,AGEYR,AGEYR1824
2022,NM,New Mexico,21.4,Q036,Age (years),18 - 24,AGEYR,AGEYR1824
2022,NY,New York,20.1,Q036,Age (years),18 - 24,AGEYR,AGEYR1824
2022,NC,North Carolina,21.1,Q036,Age (years),18 - 24,AGEYR,AGEYR1824
2022,ND,North Dakota,23.1,Q036,Age (years),18 - 24,AGEYR,AGEYR1824
2022,OH,Ohio,26.6,Q036,Age (years),18 - 24,AGEYR,AGEYR1824
2022,OK,Oklahoma,29.7,Q036,Age (years),18 - 24,AGEYR,AGEYR1824
2022,OR,Oregon,17.8,Q036,Age (years),18 - 24,AGEYR,AGEYR1824
2022,PA,Pennsylvania,16.0,Q036,Age (years),18 - 24,AGEYR,AGEYR1824
2022,PR,Puerto Rico,21.8,Q036,Age (years),18 - 24,AGEYR,AGEYR1824
2022,RI,Rhode Island,24.5,Q036,Age (years),18 - 24,AGEYR,AGEYR1824
2022,SC,South Carolina,21.8,Q036,Age (years),18 - 24,AGEYR,AGEYR1824
2022,SD,South Dakota,19.3,Q036,Age (years),18 - 24,AGEYR,AGEYR1824
2022,TN,Tennessee,24.0,Q036,Age (years),18 - 24,AGEYR,AGEYR1824
2022,TX,Texas,20.9,Q036,Age (years),18 - 24,AGEYR,AGEYR1824
2022,UT,Utah,18.2,Q036,Age (years),18 - 24,AGEYR,AGEYR1824
2022,VT,Vermont,14.7,Q036,Age (years),18 - 24,AGEYR,AGEYR1824
2022,VI,Virgin Islands,3.8,Q036,Age (years),18 - 24,AGEYR,AGEYR1824
2022,VA,Virginia,17.9,Q036,Age (years),18 - 24,AGEYR,AGEYR1824
2022,WA,Washington,21.1,Q036,Age (years),18 - 24,AGEYR,AGEYR1824
2022,WV,West Virginia,30.8,Q036,Age (years),18 - 24,AGEYR,AGEYR1824
2022,WI,Wisconsin,26.0,Q036,Age (years),18 - 24,AGEYR,AGEYR1824
2022,WY,Wyoming,22.2,Q036,Age (years),18 - 24,AGEYR,AGEYR1824
2022,AL,Alabama,37.4,Q036,Age (years),25 - 34,AGEYR,AGEYR2534
2022,AK,Alaska,29.5,Q036,Age (years),25 - 34,AGEYR,AGEYR2534
2022,AZ,Arizona,33.9,Q036,Age (years),25 - 34,AGEYR,AGEYR2534
2022,AR,Arkansas,39.0,Q036,Age (years),25 - 34,AGEYR,AGEYR2534
