YearStart,LocationAbbr,LocationDesc,Data_Value,QuestionID,StratificationCategory1,Stratification1,StratificationCategoryId1,StratificationID1
2022,AL,Alabama,36.3,Q036,Education,College graduate,EDU,EDUCOGRAD
2022,AK,Alaska,24.1,Q036,Education,College graduate,EDU,EDUCOGRAD
2022,AZ,Arizona,29.0,Q036,Education,College graduate,EDU,EDUCOGRAD
2022,AR,Arkansas,36.1,Q036,Education,College graduate,EDU,EDUCOGRAD
2022,CA,California,20.2,Q036,Education,College graduate,EDU,EDUCOGRAD
2022,CO,Colorado,20.2,Q036,Education,College graduate,EDU,EDUCOGRAD
2022,CT,Connecticut,23.6,Q036,Education,College graduate,EDU,EDUCOGRAD
2022,DE,Delaware,35.6,Q036,Education,College graduate,EDU,EDUCOGRAD
2022,DC,District of Columbia,17.4,Q036,Education,College graduate,EDU,EDUCOGRAD
2022,FL,Florida,25.1,Q036,Education,College graduate,EDU,EDUCOGRAD
2022,GA,Georgia,30.3,Q036,Education,College graduate,EDU,EDUCOGRAD
2022,GU,Guam,28.1,Q036,Education,College graduate,EDU,EDUCOGRAD
2022,HI,Hawaii,19.7,Q036,Education,College graduate,EDU,EDUCOGRAD
2022,ID,Idaho,28.1,Q036,Education,College graduate,EDU,EDUCOGRAD
2022,IL,Illinois,27.4,Q036,Education,College graduate,EDU,EDUCOGRAD
2022,IN,Indiana,34.6,Q036,Education,College graduate,EDU,EDUCOGRAD
2022,IA,Iowa,31.9,Q036,Education,College graduate,EDU,EDUCOGRAD
2022,KS,Kansas,31.7,Q036,Education,College graduate,EDU,EDUCOGRAD
2022,KY,Kentucky,31.6,Q036,Education,College graduate,EDU,EDUCOGRAD
2022,LA,Louisiana,33.0,Q036,Education,College graduate,EDU,EDUCOGRAD
2022,ME,Maine,27.6,Q036,Education,College graduate,EDU,EDUCOGRAD
2022,MD,Maryland,26.9,Q036,Education,College graduate,EDU,EDUCOGRAD
2022,MA,Massachusetts,22.4,Q036,Education,College graduate,EDU,EDUCOGRAD
2022,MI,Michigan,29.7,Q036,Education,College graduate,EDU,EDUCOGRAD
2022,MN,Minnesota,29.4,Q036,Education,College graduate,EDU,EDUCOGRAD
2022,MS,Mississippi,39.3,Q036,Education,College graduate,EDU,EDUCOGRAD
2022,MO,Missouri,33.5,Q036,Education,College graduate,EDU,EDUCOGRAD
2022,MT,Montana,24.9,Q036,Education,College graduate,EDU,EDUCOGRAD
2022,US,National,27.2,Q036,Education,College graduate,EDU,EDUCOGRAD
2022,NE,Nebraska,30.2,Q036,Education,College graduate,EDU,EDUCOGRAD
2022,NV,Nevada,27.1,Q036,Education,College graduate,EDU,EDUCOGRAD
2022,NH,New Hampshire,25.3,Q036,Education,College graduate,EDU,EDUCOGRAD
2022,NJ,New Jersey,24.4,Q036,Education,College graduate,EDU,EDUCOGRAD
2022,NM,New Mexico,24.0,Q036,Education,College graduate,EDU,EDUCOGRAD
2022,NY,New York,23.9,Q036,Education,College graduate,EDU,EDUCOGRAD
2022,NC,North Carolina,27.2,Q036,Education,College graduate,EDU,EDUCOGRAD
2022,ND,North Dakota,31.3,Q036,Education,College graduate,EDU,EDUCOGRAD
2022,OH,Ohio,33.1,Q036,Education,College graduate,EDU,EDUCOGRAD
2022,OK,Oklahoma,36.4,Q036,Education,College graduate,EDU,EDUCOGRAD
2022,OR,Oregon,25.0,Q036,Education,College graduate,EDU,EDUCOGRAD
2022,PA,Pennsylvania,25.5,Q036,Education,College graduate,EDU,EDUCOGRAD
2022,PR,Puerto Rico,34.2,Q036,Education,College graduate,EDU,EDUCOGRAD
2022,RI,Rhode Island,24.4,Q036,Education,College graduate,EDU,EDUCOGRAD
2022,SC,South Carolina,32.3,Q036,Education,College graduate,EDU,EDUCOGRAD
2022,SD,South Dakota,30.5,Q036,Education,College graduate,EDU,EDUCOGRAD
2022,TN,Tennessee,32.5,Q036,Education,College graduate,EDU,EDUCOGRAD
2022,TX,Texas,31.0,Q036,Education,College graduate,EDU,EDUCOGRAD
2022,UT,Utah,27.7,Q036,Education,College graduate,EDU,EDUCOGRAD
2022,VT,Vermont,19.7,Q036,Education,College graduate,EDU,EDUCOGRAD
2022,VI,Virgin Islands,32.3,Q036,Education,College graduate,EDU,EDUCOGRAD
2022,VA,Virginia,30.0,Q036,Education,College graduate,EDU,EDUCOGRAD
2022,WA,Washington,24.2,Q036,Education,College graduate,EDU,EDUCOGRAD
2022,WV,West Virginia,37.0,Q036,Education,College graduate,EDU,EDUCOGRAD
