YearStart,LocationAbbr,LocationDesc,Data_Value,QuestionID,StratificationCategory1,Stratification1,StratificationCategoryId1,StratificationID1
2022,AL,Alabama,30.8,Q036,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,AK,Alaska,36.6,Q036,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,AZ,Arizona,39.6,Q036,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,AR,Arkansas,40.7,Q036,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,CA,California,26.6,Q036,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,CO,Colorado,15.8,Q036,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,CT,Connecticut,33.7,Q036,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,DE,Delaware,40.2,Q036,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,DC,District of Columbia,8.3,Q036,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,FL,Florida,29.1,Q036,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,GA,Georgia,38.3,Q036,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,GU,Guam,44.5,Q036,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,HI,Hawaii,38.7,Q036,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,ID,Idaho,32.7,Q036,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,IL,Illinois,38.9,Q036,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,IN,Indiana,29.3,Q036,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,IA,Iowa,43.1,Q036,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,KS,Kansas,39.5,Q036,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,LA,Louisiana,38.8,Q036,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,ME,Maine,47.4,Q036,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,MD,Maryland,38.8,Q036,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,MA,Massachusetts,30.7,Q036,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,MI,Michigan,34.0,Q036,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,MN,Minnesota,46.0,Q036,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,MO,Missouri,44.6,Q036,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,MT,Montana,36.7,Q036,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,US,National,33.7,Q036,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,NE,Nebraska,24.6,Q036,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,NV,Nevada,34.0,Q036,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,NH,New Hampshire,16.7,Q036,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,NJ,New Jersey,38.4,Q036,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
