YearStart,YearEnd,LocationAbbr,LocationDesc,Question,Data_Value,Low_Confidence_Limit,High_Confidence_Limit ,Sample_Size,Age(years),Education,Gender,Income,Race/Ethnicity,GeoLocation,ClassID,TopicID,QuestionID,LocationID,StratificationCategory1,Stratification1,StratificationCategoryId1,StratificationID1
2022,2022,AL,Alabama,Percent of adults aged 18 years and older who have an overweight classification,26.9,21.7,32.8,455,,,,"$15,000 - $24,999",,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q037,1,Income,"$15,000 - $24,999",INC,INC1525
2022,2022,AK,Alaska,Percent of adults aged 18 years and older who have an overweight classification,23.2,17.8,29.6,325,,,,"$15,000 - $24,999",,"(64.84507995700051, -147.72205903599973)",OWS,OWS1,Q037,2,Income,"$15,000 - $24,999",INC,INC1525
2022,2022,AZ,Arizona,Percent of adults aged 18 years and older who have an overweight classification,30.1,25,35.7,796,,,,"$15,000 - $24,999",,"(34.865970280000454, -111.76381127699972)",OWS,OWS1,Q037,4,Income,"$15,000 - $24,999",INC,INC1525
2022,2022,AR,Arkansas,Percent of adults aged 18 years and older who have an overweight classification,31.4,26.6,36.6,584,,,,"$15,000 - $24,999",,"(34.74865012400045, -92.27449074299966)",OWS,OWS1,Q037,5,Income,"$15,000 - $24,999",INC,INC1525
2022,2022,CA,California,Percent of adults aged 18 years and older who have an overweight classification,30.5,25.8,35.7,679,,,,"$15,000 - $24,999",,"(37.63864012300047, -120.99999953799971)",OWS,OWS1,Q037,6,Income,"$15,000 - $24,999",INC,INC1525
2022,2022,CO,Colorado,Percent of adults aged 18 years and older who have an overweight classification,33,28,38.4,557,,,,"$15,000 - $24,999",,"(38.843840757000464, -106.13361092099967)",OWS,OWS1,Q037,8,Income,"$15,000 - $24,999",INC,INC1525
2022,2022,CT,Connecticut,Percent of adults aged 18 years and older who have an overweight classification,30.4,24.7,36.7,548,,,,"$15,000 - $24,999",,"(41.56266102000046, -72.64984095199964)",OWS,OWS1,Q037,9,Income,"$15,000 - $24,999",INC,INC1525
2022,2022,DE,Delaware,Percent of adults aged 18 years and older who have an overweight classification,28.8,22,36.7,262,,,,"$15,000 - $24,999",,"(39.008830667000495, -75.57774116799965)",OWS,OWS1,Q037,10,Income,"$15,000 - $24,999",INC,INC1525
2022,2022,DC,District of Columbia,Percent of adults aged 18 years and older who have an overweight classification,26.1,18.3,35.7,156,,,,"$15,000 - $24,999",,"(38.89037138500049, -77.03196112699965)",OWS,OWS1,Q037,11,Income,"$15,000 - $24,999",INC,INC1525
2022,2022,FL,Florida,Percent of adults aged 18 years and older who have an overweight classification,31.1,25.3,37.5,1114,,,,"$15,000 - $24,999",,"(28.932040377000476, -81.92896053899966)",OWS,OWS1,Q037,12,Income,"$15,000 - $24,999",INC,INC1525
2022,2022,GA,Georgia,Percent of adults aged 18 years and older who have an overweight classification,28.1,23.7,32.9,778,,,,"$15,000 - $24,999",,"(32.83968109300048, -83.62758034599966)",OWS,OWS1,Q037,13,Income,"$15,000 - $24,999",INC,INC1525
2022,2022,HI,Hawaii,Percent of adults aged 18 years and older who have an overweight classification,28.3,23.1,34,603,,,,"$15,000 - $24,999",,"(21.304850435000446, -157.85774940299973)",OWS,OWS1,Q037,15,Income,"$15,000 - $24,999",INC,INC1525
2022,2022,ID,Idaho,Percent of adults aged 18 years and older who have an overweight classification,31.8,26.4,37.6,417,,,,"$15,000 - $24,999",,"(43.682630005000476, -114.3637300419997)",OWS,OWS1,Q037,16,Income,"$15,000 - $24,999",INC,INC1525
2022,2022,IL,Illinois,Percent of adults aged 18 years and older who have an overweight classification,30.5,24.8,36.9,372,,,,"$15,000 - $24,999",,"(40.48501028300046, -88.99771017799969)",OWS,OWS1,Q037,17,Income,"$15,000 - $24,999",INC,INC1525
2022,2022,IN,Indiana,Percent of adults aged 18 years and older who have an overweight classification,27.2,23.4,31.3,806,,,,"$15,000 - $24,999",,"(39.766910452000445, -86.14996019399968)",OWS,OWS1,Q037,18,Income,"$15,000 - $24,999",INC,INC1525
2022,2022,IA,Iowa,Percent of adults aged 18 years and older who have an overweight classification,27.3,23.3,31.8,683,,,,"$15,000 - $24,999",,"(42.46940091300047, -93.81649055599968)",OWS,OWS1,Q037,19,Income,"$15,000 - $24,999",INC,INC1525
2022,2022,KS,Kansas,Percent of adults aged 18 years and older who have an overweight classification,28,23.6,32.9,742,,,,"$15,000 - $24,999",,"(38.34774030000045, -98.20078122699965)",OWS,OWS1,Q037,20,Income,"$15,000 - $24,999",INC,INC1525
2022,2022,KY,Kentucky,Percent of adults aged 18 years and older who have an overweight classification,26.6,20.9,33.3,368,,,,"$15,000 - $24,999",,"(37.645970271000465, -84.77497104799966)",OWS,OWS1,Q037,21,Income,"$15,000 - $24,999",INC,INC1525
2022,2022,LA,Louisiana,Percent of adults aged 18 years and older who have an overweight classification,28.8,24.1,34,577,,,,"$15,000 - $24,999",,"(31.31266064400046, -92.44568007099969)",OWS,OWS1,Q037,22,Income,"$15,000 - $24,999",INC,INC1525
2022,2022,ME,Maine,Percent of adults aged 18 years and older who have an overweight classification,33.6,28.6,38.9,833,,,,"$15,000 - $24,999",,"(45.254228894000505, -68.98503133599962)",OWS,OWS1,Q037,23,Income,"$15,000 - $24,999",INC,INC1525
2022,2022,MD,Maryland,Percent of adults aged 18 years and older who have an overweight classification,33.4,28.7,38.5,1008,,,,"$15,000 - $24,999",,"(39.29058096400047, -76.60926011099963)",OWS,OWS1,Q037,24,Income,"$15,000 - $24,999",INC,INC1525
2022,2022,MA,Massachusetts,Percent of adults aged 18 years and older who have an overweight classification,31.6,26.6,37.1,537,,,,"$15,000 - $24,999",,"(42.27687047000046, -72.08269067499964)",OWS,OWS1,Q037,25,Income,"$15,000 - $24,999",INC,INC1525
