YearStart,LocationAbbr,LocationDesc,Stratification1,StratificationCategoryId1
2021,FL,Florida,Total,OVR
2018,VI,Virgin Islands,Total,OVR
2017,VI,Virgin Islands,Total,OVR
2018,AL,Alabama,Total,OVR
2016,AL,Alabama,Total,OVR
2020,AL,Alabama,Total,OVR
2017,AL,Alabama,Total,OVR
2011,AL,Alabama,Total,OVR
2019,AL,Alabama,Total,OVR
2012,AL,Alabama,Total,OVR
2015,AL,Alabama,Total,OVR
2022,AL,Alabama,Total,OVR
2013,AL,Alabama,Total,OVR
2014,AL,Alabama,Total,OVR
2021,AL,Alabama,Total,OVR
2016,AK,Alaska,Total,OVR
2018,AK,Alaska,Total,OVR
2020,AK,Alaska,Total,OVR
2015,AK,Alaska,Total,OVR
2017,AK,Alaska,Total,OVR
2019,AK,Alaska,Total,OVR
2013,AK,Alaska,Total,OVR
2014,AK,Alaska,Total,OVR
2012,AK,Alaska,Total,OVR
2011,AK,Alaska,Total,OVR
2021,AK,Alaska,Total,OVR
2022,AK,Alaska,Total,OVR
2018,AZ,Arizona,Total,OVR
2016,AZ,Arizona,Total,OVR
2020,AZ,Arizona,Total,OVR
2017,AZ,Arizona,Total,OVR
2014,AZ,Arizona,Total,OVR
2015,AZ,Arizona,Total,OVR
2019,AZ,Arizona,Total,OVR
2013,AZ,Arizona,Total,OVR
2011,AZ,Arizona,Total,OVR
2012,AZ,Arizona,Total,OVR
2021,AZ,Arizona,Total,OVR
2022,AZ,Arizona,Total,OVR
2018,AR,Arkansas,Total,OVR
2020,AR,Arkansas,Total,OVR
2014,AR,Arkansas,Total,OVR
2017,AR,Arkansas,Total,OVR
2012,AR,Arkansas,Total,OVR
2019,AR,Arkansas,Total,OVR
2015,AR,Arkansas,Total,OVR
2011,AR,Arkansas,Total,OVR
2013,AR,Arkansas,Total,OVR
2016,AR,Arkansas,Total,OVR
2021,AR,Arkansas,Total,OVR
2022,AR,Arkansas,Total,OVR
2018,CA,California,Total,OVR
2020,CA,California,Total,OVR
2015,CA,California,Total,OVR
2017,CA,California,Total,OVR
2014,CA,California,Total,OVR
2019,CA,California,Total,OVR
2012,CA,California,Total,OVR
2013,CA,California,Total,OVR
2011,CA,California,Total,OVR
2016,CA,California,Total,OVR
2021,CA,California,Total,OVR
2022,CA,California,Total,OVR
2018,CO,Colorado,Total,OVR
2020,CO,Colorado,Total,OVR
2017,CO,Colorado,Total,OVR
2019,CO,Colorado,Total,OVR
2012,CO,Colorado,Total,OVR
2014,CO,Colorado,Total,OVR
2013,CO,Colorado,Total,OVR
2015,CO,Colorado,Total,OVR
2011,CO,Colorado,Total,OVR
2016,CO,Colorado,Total,OVR
2021,CO,Colorado,Total,OVR
2022,CO,Colorado,Total,OVR
2018,CT,Connecticut,Total,OVR
2020,CT,Connecticut,Total,OVR
2017,CT,Connecticut,Total,OVR
2019,CT,Connecticut,Total,OVR
2014,CT,Connecticut,Total,OVR
2011,CT,Connecticut,Total,OVR
2015,CT,Connecticut,Total,OVR
2013,CT,Connecticut,Total,OVR
2022,CT,Connecticut,Total,OVR
2012,CT,Connecticut,Total,OVR
2016,CT,Connecticut,Total,OVR
2021,CT,Connecticut,Total,OVR
2018,DE,Delaware,Total,OVR
2020,DE,Delaware,Total,OVR
2017,DE,Delaware,Total,OVR
2013,DE,Delaware,Total,OVR
2015,DE,Delaware,Total,OVR
2011,DE,Delaware,Total,OVR
2012,DE,Delaware,Total,OVR
2019,DE,Delaware,Total,OVR
2014,DE,Delaware,Total,OVR
2016,DE,Delaware,Total,OVR
2021,DE,Delaware,Total,OVR
2022,DE,Delaware,Total,OVR
2018,DC,District of Columbia,Total,OVR
2020,DC,District of Columbia,Total,OVR
2014,DC,District of Columbia,Total,OVR
2017,DC,District of Columbia,Total,OVR
2011,DC,District of Columbia,Total,OVR
2019,DC,District of Columbia,Total,OVR
2015,DC,District of Columbia,Total,OVR
2013,DC,District of Columbia,Total,OVR
2012,DC,District of Columbia,Total,OVR
2016,DC,District of Columbia,Total,OVR
2021,DC,District of Columbia,Total,OVR
2022,DC,District of Columbia,Total,OVR
2018,FL,Florida,Total,OVR
2020,FL,Florida,Total,OVR
2017,FL,Florida,Total,OVR
2015,FL,Florida,Total,OVR
2014,FL,Florida,Total,OVR
2019,FL,Florida,Total,OVR
2013,FL,Florida,Total,OVR
2011,FL,Florida,Total,OVR
2012,FL,Florida,Total,OVR
2016,FL,Florida,Total,OVR
2022,FL,Florida,Total,OVR
2018,GA,Georgia,Total,OVR
2020,GA,Georgia,Total,OVR
2017,GA,Georgia,Total,OVR
2014,GA,Georgia,Total,OVR
2015,GA,Georgia,Total,OVR
2012,GA,Georgia,Total,OVR
2019,GA,Georgia,Total,OVR
2011,GA,Georgia,Total,OVR
2013,GA,Georgia,Total,OVR
2016,GA,Georgia,Total,OVR
2021,GA,Georgia,Total,OVR
2022,GA,Georgia,Total,OVR
2018,GU,Guam,Total,OVR
2014,GU,Guam,Total,OVR
2015,GU,Guam,Total,OVR
2020,GU,Guam,Total,OVR
2017,GU,Guam,Total,OVR
2019,GU,Guam,Total,OVR
2016,GU,Guam,Total,OVR
2021,GU,Guam,Total,OVR
2022,GU,Guam,Total,OVR
2018,HI,Hawaii,Total,OVR
2020,HI,Hawaii,Total,OVR
2017,HI,Hawaii,Total,OVR
2011,HI,Hawaii,Total,OVR
2012,HI,Hawaii,Total,OVR
2019,HI,Hawaii,Total,OVR
2014,HI,Hawaii,Total,OVR
2013,HI,Hawaii,Total,OVR
2015,HI,Hawaii,Total,OVR
2016,HI,Hawaii,Total,OVR
2021,HI,Hawaii,Total,OVR
2022,HI,Hawaii,Total,OVR
2018,ID,Idaho,Total,OVR
2020,ID,Idaho,Total,OVR
2011,ID,Idaho,Total,OVR
2017,ID,Idaho,Total,OVR
2015,ID,Idaho,Total,OVR
2013,ID,Idaho,Total,OVR
2019,ID,Idaho,Total,OVR
2012,ID,Idaho,Total,OVR
2014,ID,Idaho,Total,OVR
2016,ID,Idaho,Total,OVR
2021,ID,Idaho,Total,OVR
2022,ID,Idaho,Total,OVR
2018,IL,Illinois,Total,OVR
2020,IL,Illinois,Total,OVR
2011,IL,Illinois,Total,OVR
2017,IL,Illinois,Total,OVR
2019,IL,Illinois,Total,OVR
2013,IL,Illinois,Total,OVR
2012,IL,Illinois,Total,OVR
2015,IL,Illinois,Total,OVR
2014,IL,Illinois,Total,OVR
2016,IL,Illinois,Total,OVR
2021,IL,Illinois,Total,OVR
2022,IL,Illinois,Total,OVR
2018,IN,Indiana,Total,OVR
2020,IN,Indiana,Total,OVR
2017,IN,Indiana,Total,OVR
2013,IN,Indiana,Total,OVR
2014,IN,Indiana,Total,OVR
2019,IN,Indiana,Total,OVR
2012,IN,Indiana,Total,OVR
2015,IN,Indiana,Total,OVR
2011,IN,Indiana,Total,OVR
2016,IN,Indiana,Total,OVR
2021,IN,Indiana,Total,OVR
2022,IN,Indiana,Total,OVR
2018,IA,Iowa,Total,OVR
2020,IA,Iowa,Total,OVR
2017,IA,Iowa,Total,OVR
2012,IA,Iowa,Total,OVR
2013,IA,Iowa,Total,OVR
2019,IA,Iowa,Total,OVR
2011,IA,Iowa,Total,OVR
2014,IA,Iowa,Total,OVR
2015,IA,Iowa,Total,OVR
2016,IA,Iowa,Total,OVR
2021,IA,Iowa,Total,OVR
2022,IA,Iowa,Total,OVR
2018,KS,Kansas,Total,OVR
2016,KS,Kansas,Total,OVR
2020,KS,Kansas,Total,OVR
2017,KS,Kansas,Total,OVR
2015,KS,Kansas,Total,OVR
2019,KS,Kansas,Total,OVR
2014,KS,Kansas,Total,OVR
2011,KS,Kansas,Total,OVR
2013,KS,Kansas,Total,OVR
2012,KS,Kansas,Total,OVR
2021,KS,Kansas,Total,OVR
2022,KS,Kansas,Total,OVR
2018,KY,Kentucky,Total,OVR
2020,KY,Kentucky,Total,OVR
